timestamp,ticker,side,strategy,quantity,reference_price,parent_order_id,parent_date,parent_quantity,parent_start_time,parent_end_time,participation_cap,notional,source_csv
2026-04-28 10:00:00-04:00,SPY,buy,TWAP,11426.261731343284,711.4451293945312,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8129158.255951303,data/processed/SPY_5d_5m.csv
2026-04-28 10:05:00-04:00,SPY,buy,TWAP,11426.261731343284,712.1300048828125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8136983.822533786,data/processed/SPY_5d_5m.csv
2026-04-28 10:10:00-04:00,SPY,buy,TWAP,11426.261731343284,711.6400146484375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8131385.065870015,data/processed/SPY_5d_5m.csv
2026-04-28 10:15:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3599853515625,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8128185.377831478,data/processed/SPY_5d_5m.csv
2026-04-28 10:20:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3900146484375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8128528.50043718,data/processed/SPY_5d_5m.csv
2026-04-28 10:25:00-04:00,SPY,buy,TWAP,11426.261731343284,711.25,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8126928.656417911,data/processed/SPY_5d_5m.csv
2026-04-28 10:30:00-04:00,SPY,buy,TWAP,11426.261731343284,710.89501953125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8122872.556672459,data/processed/SPY_5d_5m.csv
2026-04-28 10:35:00-04:00,SPY,buy,TWAP,11426.261731343284,710.0889892578125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8113662.643804776,data/processed/SPY_5d_5m.csv
2026-04-28 10:40:00-04:00,SPY,buy,TWAP,11426.261731343284,710.4600219726562,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8117902.160715471,data/processed/SPY_5d_5m.csv
2026-04-28 10:45:00-04:00,SPY,buy,TWAP,11426.261731343284,710.0900268554688,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8113674.499667168,data/processed/SPY_5d_5m.csv
2026-04-28 10:50:00-04:00,SPY,buy,TWAP,11426.261731343284,709.6500244140625,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8108646.9166092295,data/processed/SPY_5d_5m.csv
2026-04-28 10:55:00-04:00,SPY,buy,TWAP,11426.261731343284,710.52001953125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8118587.708523205,data/processed/SPY_5d_5m.csv
2026-04-28 11:00:00-04:00,SPY,buy,TWAP,11426.261731343284,710.60498046875,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8119558.49443202,data/processed/SPY_5d_5m.csv
2026-04-28 11:05:00-04:00,SPY,buy,TWAP,11426.261731343284,710.094970703125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8113730.989364447,data/processed/SPY_5d_5m.csv
2026-04-28 11:10:00-04:00,SPY,buy,TWAP,11426.261731343284,710.6900024414062,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8120529.977744505,data/processed/SPY_5d_5m.csv
2026-04-28 11:15:00-04:00,SPY,buy,TWAP,11426.261731343284,710.6400146484375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8119958.804138672,data/processed/SPY_5d_5m.csv
2026-04-28 11:20:00-04:00,SPY,buy,TWAP,11426.261731343284,710.25,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8115502.394686568,data/processed/SPY_5d_5m.csv
2026-04-28 11:25:00-04:00,SPY,buy,TWAP,11426.261731343284,709.9000244140625,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8111503.482042065,data/processed/SPY_5d_5m.csv
2026-04-28 11:30:00-04:00,SPY,buy,TWAP,11426.261731343284,709.6900024414062,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8109103.716013161,data/processed/SPY_5d_5m.csv
2026-04-28 11:35:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8900146484375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8111389.107840165,data/processed/SPY_5d_5m.csv
2026-04-28 11:40:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8099975585938,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8110474.811628629,data/processed/SPY_5d_5m.csv
2026-04-28 11:45:00-04:00,SPY,buy,TWAP,11426.261731343284,709.5698852539062,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8107731.225590354,data/processed/SPY_5d_5m.csv
2026-04-28 11:50:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8499755859375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8110931.611032562,data/processed/SPY_5d_5m.csv
2026-04-28 11:55:00-04:00,SPY,buy,TWAP,11426.261731343284,709.97998046875,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8112417.080849931,data/processed/SPY_5d_5m.csv
2026-04-28 12:00:00-04:00,SPY,buy,TWAP,11426.261731343284,710.159912109375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8114473.026869462,data/processed/SPY_5d_5m.csv
2026-04-28 12:05:00-04:00,SPY,buy,TWAP,11426.261731343284,710.2899780273438,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8115959.1940905,data/processed/SPY_5d_5m.csv
2026-04-28 12:10:00-04:00,SPY,buy,TWAP,11426.261731343284,710.4299926757812,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8117559.038109769,data/processed/SPY_5d_5m.csv
2026-04-28 12:15:00-04:00,SPY,buy,TWAP,11426.261731343284,710.3350219726562,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8116473.877999052,data/processed/SPY_5d_5m.csv
2026-04-28 12:20:00-04:00,SPY,buy,TWAP,11426.261731343284,710.5,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8118358.960119403,data/processed/SPY_5d_5m.csv
2026-04-28 12:25:00-04:00,SPY,buy,TWAP,11426.261731343284,710.3200073242188,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8116302.316696201,data/processed/SPY_5d_5m.csv
2026-04-28 12:30:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8201293945312,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8110590.58063787,data/processed/SPY_5d_5m.csv
2026-04-28 12:35:00-04:00,SPY,buy,TWAP,11426.261731343284,709.7098999023438,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8109331.069609623,data/processed/SPY_5d_5m.csv
