timestamp,ticker,side,strategy,quantity,reference_price,volume,mid_price,synthetic_bid,synthetic_ask,half_spread,temporary_impact,permanent_impact,impact_cost,spread_cost,fill_price
2026-04-28 10:00:00-04:00,SPY,buy,TWAP,11426.261731343284,711.4451293945312,419270,711.4451293945312,711.0851135253906,711.8051452636719,0.360015869140625,11.744826354753823,0.38777676704516434,12.132603121798986,0.360015869140625,723.5499716184257
2026-04-28 10:05:00-04:00,SPY,buy,TWAP,11426.261731343284,712.1300048828125,459364,712.1300048828125,711.635009765625,712.625,0.49499511718750006,11.23137402311236,0.3542717244944657,11.585645747606826,0.4949951171875,723.8563740231124
2026-04-28 10:10:00-04:00,SPY,buy,TWAP,11426.261731343284,711.6400146484375,310728,711.6400146484375,711.3200378417969,711.9599914550781,0.319976806640625,13.646530463003417,0.5233763977414341,14.16990686074485,0.319976806640625,725.6065219180815
2026-04-28 10:15:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3599853515625,280407,711.3599853515625,711.0299682617188,711.6900024414062,0.33001708984375,14.359756992371784,0.5797419734765165,14.9394989658483,0.33001708984375,726.049759433778
2026-04-28 10:20:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3900146484375,267130,711.3900146484375,711.1050109863281,711.6750183105469,0.285003662109375,14.712907914627824,0.6085822259152607,15.321490140543084,0.285003662109375,726.3879262251747
2026-04-28 10:25:00-04:00,SPY,buy,TWAP,11426.261731343284,711.25,417067,711.25,710.9100036621094,711.5899963378906,0.339996337890625,11.77257454931529,0.3897181343246006,12.162292683639892,0.339996337890625,723.362570887206
2026-04-28 10:30:00-04:00,SPY,buy,TWAP,11426.261731343284,710.89501953125,349852,710.89501953125,710.5150146484375,711.2750244140625,0.3800048828125,12.847403818272387,0.46436050425165265,13.31176432252404,0.3800048828125,724.1224282323349
2026-04-28 10:35:00-04:00,SPY,buy,TWAP,11426.261731343284,710.0889892578125,928849,710.0889892578125,709.4440002441406,710.7339782714844,0.644989013671875,7.875756919817407,0.17470358785561,8.050460507673018,0.644989013671875,718.6097351913018
2026-04-28 10:40:00-04:00,SPY,buy,TWAP,11426.261731343284,710.4600219726562,533064,710.4600219726562,709.9750366210938,710.9450073242188,0.48498535156249994,10.401645583834974,0.30457514147327414,10.706220725308247,0.4849853515625,721.3466529080537
2026-04-28 10:45:00-04:00,SPY,buy,TWAP,11426.261731343284,710.0900268554688,549306,710.0900268554688,709.6800231933594,710.5000305175781,0.410003662109375,10.24137634318369,0.2954154696896508,10.536791812873341,0.410003662109375,720.7414068607618
2026-04-28 10:50:00-04:00,SPY,buy,TWAP,11426.261731343284,709.6500244140625,595829,709.6500244140625,709.2000122070312,710.1000366210938,0.45001220703125,9.82732881243934,0.27218033753339393,10.099509149972734,0.45001220703125,719.927365433533
2026-04-28 10:55:00-04:00,SPY,buy,TWAP,11426.261731343284,710.52001953125,581974,710.52001953125,709.9125366210938,711.1275024414062,0.60748291015625,9.955810270984632,0.2790017323290458,10.234812003313678,0.60748291015625,721.0833127123909
2026-04-28 11:00:00-04:00,SPY,buy,TWAP,11426.261731343284,710.60498046875,378012,710.60498046875,710.2949829101562,710.9149780273438,0.30999755859375,12.354567245522665,0.42959263168534434,12.784159877208008,0.30999755859375,723.2695452728664
2026-04-28 11:05:00-04:00,SPY,buy,TWAP,11426.261731343284,710.094970703125,281820,710.094970703125,709.6524658203125,710.5374755859375,0.4425048828125,14.298241080822315,0.5758094520874635,14.874050532909779,0.4425048828125,724.8357166667598
2026-04-28 11:10:00-04:00,SPY,buy,TWAP,11426.261731343284,710.6900024414062,192180,710.6900024414062,710.3550109863281,711.0249938964844,0.334991455078125,17.329187289396376,0.845096261603133,18.174283550999508,0.334991455078125,728.3541811858807
2026-04-28 11:15:00-04:00,SPY,buy,TWAP,11426.261731343284,710.6400146484375,227184,710.6400146484375,710.3500061035156,710.9300231933594,0.290008544921875,15.937231130092675,0.7148354465225256,16.6520665766152,0.290008544921875,726.867254323452
2026-04-28 11:20:00-04:00,SPY,buy,TWAP,11426.261731343284,710.25,267199,710.25,709.8949890136719,710.6050109863281,0.35501098632812506,14.68743346003057,0.6074500574243592,15.29488351745493,0.355010986328125,725.2924444463587
2026-04-28 11:25:00-04:00,SPY,buy,TWAP,11426.261731343284,709.9000244140625,236713,709.9000244140625,709.6725158691406,710.1275329589844,0.227508544921875,15.596897579341485,0.6853449943215679,16.282242573663055,0.227508544921875,725.7244305383258
2026-04-28 11:30:00-04:00,SPY,buy,TWAP,11426.261731343284,709.6900024414062,437390,709.6900024414062,709.4450073242188,709.9349975585938,0.2449951171875,11.47060557248502,0.37079511264606696,11.841400685131088,0.2449951171875,721.4056031310788
2026-04-28 11:35:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8900146484375,268006,709.8900146484375,709.5249938964844,710.2550354003906,0.365020751953125,14.65787091892839,0.6053139935553804,15.263184912483771,0.365020751953125,724.9129063193191
2026-04-28 11:40:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8099975585938,138199,709.8099975585938,709.6100158691406,710.0099792480469,0.199981689453125,20.40994083084262,1.1737385670849472,21.583679397927565,0.199981689453125,730.4199200788895
2026-04-28 11:45:00-04:00,SPY,buy,TWAP,11426.261731343284,709.5698852539062,315374,709.5698852539062,709.264892578125,709.8748779296875,0.30499267578125,13.506235441112548,0.5141661155066908,14.020401556619237,0.30499267578125,723.3811133708
2026-04-28 11:50:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8499755859375,224745,709.8499755859375,709.6649780273438,710.0349731445312,0.18499755859375,16.00566181342348,0.721789727115848,16.727451540539327,0.18499755859375,726.0406349579547
2026-04-28 11:55:00-04:00,SPY,buy,TWAP,11426.261731343284,709.97998046875,179908,709.97998046875,709.7337341308594,710.2262268066406,0.246246337890625,17.892579233083413,0.9018406164094904,18.794419849492904,0.246246337890625,728.1188060397241
2026-04-28 12:00:00-04:00,SPY,buy,TWAP,11426.261731343284,710.159912109375,245732,710.159912109375,709.8999328613281,710.4198913574219,0.259979248046875,15.31360283760385,0.6604327500585566,15.974035587662406,0.259979248046875,725.7334941950257
2026-04-28 12:05:00-04:00,SPY,buy,TWAP,11426.261731343284,710.2899780273438,233813,710.2899780273438,710.1087341308594,710.4712219238281,0.18124389648437497,15.701944708625714,0.6942265138457229,16.396171222471438,0.181243896484375,726.1731666324538
2026-04-28 12:10:00-04:00,SPY,buy,TWAP,11426.261731343284,710.4299926757812,498541,710.4299926757812,710.2449951171875,710.614990234375,0.18499755859375,10.755309979225759,0.3256526158574628,11.080962595083221,0.18499755859375,721.3703002136008
2026-04-28 12:15:00-04:00,SPY,buy,TWAP,11426.261731343284,710.3350219726562,118471,710.3350219726562,710.1400146484375,710.530029296875,0.19500732421875,22.06019180718187,1.3702043332121876,23.430396140394055,0.19500732421875,732.5902211040569
