timestamp,ticker,side,strategy,quantity,reference_price
2026-04-28 10:00:00-04:00,SPY,buy,POV,41927.0,711.4451293945312
2026-04-28 10:05:00-04:00,SPY,buy,POV,45936.4,712.1300048828125
2026-04-28 10:10:00-04:00,SPY,buy,POV,31072.800000000003,711.6400146484375
2026-04-28 10:15:00-04:00,SPY,buy,POV,28040.7,711.3599853515625
2026-04-28 10:20:00-04:00,SPY,buy,POV,26713.0,711.3900146484375
2026-04-28 10:25:00-04:00,SPY,buy,POV,41706.700000000004,711.25
2026-04-28 10:30:00-04:00,SPY,buy,POV,34985.200000000004,710.89501953125
2026-04-28 10:35:00-04:00,SPY,buy,POV,92884.90000000001,710.0889892578125
2026-04-28 10:40:00-04:00,SPY,buy,POV,53306.4,710.4600219726562
2026-04-28 10:45:00-04:00,SPY,buy,POV,54930.600000000006,710.0900268554688
2026-04-28 10:50:00-04:00,SPY,buy,POV,59582.9,709.6500244140625
2026-04-28 10:55:00-04:00,SPY,buy,POV,58197.4,710.52001953125
2026-04-28 11:00:00-04:00,SPY,buy,POV,37801.200000000004,710.60498046875
2026-04-28 11:05:00-04:00,SPY,buy,POV,28182.0,710.094970703125
2026-04-28 11:10:00-04:00,SPY,buy,POV,19218.0,710.6900024414062
2026-04-28 11:15:00-04:00,SPY,buy,POV,22718.4,710.6400146484375
2026-04-28 11:20:00-04:00,SPY,buy,POV,26719.9,710.25
2026-04-28 11:25:00-04:00,SPY,buy,POV,23671.300000000003,709.9000244140625
2026-04-28 11:30:00-04:00,SPY,buy,POV,37964.735999999895,709.6900024414062
