timestamp,ticker,side,strategy,quantity,reference_price
2026-04-28 10:00:00-04:00,SPY,buy,Adaptive,11426.261731343284,711.4451293945312
2026-04-28 10:05:00-04:00,SPY,buy,Adaptive,8569.696298507462,712.1300048828125
2026-04-28 10:10:00-04:00,SPY,buy,Adaptive,11513.008178758333,711.6400146484375
2026-04-28 10:15:00-04:00,SPY,buy,Adaptive,11511.03731758174,711.3599853515625
2026-04-28 10:20:00-04:00,SPY,buy,Adaptive,11509.106222456443,711.3900146484375
2026-04-28 10:25:00-04:00,SPY,buy,Adaptive,11507.214133807158,711.25
2026-04-28 10:30:00-04:00,SPY,buy,Adaptive,8629.020229568323,710.89501953125
2026-04-28 10:35:00-04:00,SPY,buy,Adaptive,8696.174568988385,710.0889892578125
2026-04-28 10:40:00-04:00,SPY,buy,Adaptive,8763.180328773082,710.4600219726562
2026-04-28 10:45:00-04:00,SPY,buy,Adaptive,8830.053764046626,710.0900268554688
2026-04-28 10:50:00-04:00,SPY,buy,Adaptive,8896.812268740667,709.6500244140625
2026-04-28 10:55:00-04:00,SPY,buy,Adaptive,7618.953286084125,710.52001953125
2026-04-28 11:00:00-04:00,SPY,buy,Adaptive,10272.934491851693,710.60498046875
2026-04-28 11:05:00-04:00,SPY,buy,Adaptive,6369.451934249651,710.094970703125
2026-04-28 11:10:00-04:00,SPY,buy,Adaptive,8621.518039878141,710.6900024414062
2026-04-28 11:15:00-04:00,SPY,buy,Adaptive,8698.054715997398,710.6400146484375
2026-04-28 11:20:00-04:00,SPY,buy,Adaptive,7458.5709654521315,710.25
2026-04-28 11:25:00-04:00,SPY,buy,Adaptive,7552.762370557797,709.9000244140625
2026-04-28 11:30:00-04:00,SPY,buy,Adaptive,7647.761953449826,709.6900024414062
2026-04-28 11:35:00-04:00,SPY,buy,Adaptive,9110.139692491966,709.8900146484375
2026-04-28 11:40:00-04:00,SPY,buy,Adaptive,9186.907688377336,709.8099975585938
2026-04-28 11:45:00-04:00,SPY,buy,Adaptive,9264.059048974366,709.5698852539062
2026-04-28 11:50:00-04:00,SPY,buy,Adaptive,9341.641100208453,709.8499755859375
2026-04-28 11:55:00-04:00,SPY,buy,Adaptive,9419.705087125247,709.97998046875
2026-04-28 12:00:00-04:00,SPY,buy,Adaptive,18996.613131593927,710.159912109375
2026-04-28 12:05:00-04:00,SPY,buy,Adaptive,18597.7496415731,710.2899780273438
2026-04-28 12:10:00-04:00,SPY,buy,Adaptive,21858.714770319053,710.4299926757812
2026-04-28 12:15:00-04:00,SPY,buy,Adaptive,11847.1,710.3350219726562
2026-04-28 12:20:00-04:00,SPY,buy,Adaptive,12950.0,710.5
2026-04-28 12:25:00-04:00,SPY,buy,Adaptive,12169.400000000001,710.3200073242188
2026-04-28 12:30:00-04:00,SPY,buy,Adaptive,8777.220274089275,709.8201293945312
2026-04-28 12:35:00-04:00,SPY,buy,Adaptive,8874.17879598837,709.7098999023438
2026-04-28 12:40:00-04:00,SPY,buy,Adaptive,8972.352694040172,709.530029296875
2026-04-28 12:45:00-04:00,SPY,buy,Adaptive,9071.858744618743,709.739990234375
2026-04-28 12:50:00-04:00,SPY,buy,Adaptive,13759.239624267142,710.2598266601562
2026-04-28 12:55:00-04:00,SPY,buy,Adaptive,9117.738287998776,710.1799926757812
2026-04-28 13:00:00-04:00,SPY,buy,Adaptive,6917.622075287608,709.6599731445312
2026-04-28 13:05:00-04:00,SPY,buy,Adaptive,9414.620784896477,709.8800048828125
2026-04-28 13:10:00-04:00,SPY,buy,Adaptive,17768.3,709.989990234375
2026-04-28 13:15:00-04:00,SPY,buy,Adaptive,9321.265422109615,709.6500244140625
2026-04-28 13:20:00-04:00,SPY,buy,Adaptive,9438.151158061355,709.89501953125
2026-04-28 13:25:00-04:00,SPY,buy,Adaptive,19115.897705464875,710.1199951171875
2026-04-28 13:30:00-04:00,SPY,buy,Adaptive,18574.844780311207,710.4550170898438
2026-04-28 13:35:00-04:00,SPY,buy,Adaptive,18056.041888383934,710.5999755859375
