signal,horizon_1,horizon_3,horizon_6,horizon_12
alpha_signal,0.024180842276385266,0.00546649301548908,-0.04632231799982132,-0.021871835442998144
liquidity_score,-0.04355042994397269,-0.07487873881892287,-0.10252883133115062,-0.03308147955314224
momentum_3,-0.03092425130341445,0.053453985920314064,0.026094117204875495,-0.05653419400625054
ofi_proxy,0.03237972306736525,0.0016677675101595647,-0.03898733116505399,-0.008737709094900242
reversal_3,0.03092425130341445,-0.053453985920314064,-0.026094117204875495,0.05653419400625054
rolling_vol,0.04226553942330295,0.06338252439901648,0.08393346830654946,0.013689563257225569
spread_proxy,0.03919800593457835,0.04727208938391005,0.041828150254424386,0.07541710478885941
volume_zscore,0.041916135103949786,0.049724051698036904,0.06642610937719479,0.12699113427921574
