ticker,date,side,quantity,strategy,avg_fill_price,arrival_price,market_vwap,implementation_shortfall_bps,vwap_slippage_bps,spread_cost_bps,impact_cost_bps,adverse_selection_cost_bps,timing_cost_bps,opportunity_cost_bps,fill_rate,execution_duration,placement_style,fill_model,parent_order_id,random_seed
SPY,2026-04-28,buy,765559.536,TWAP,725.7822537019632,711.4451293945312,710.688192551813,201.52115342519022,212.38654741051937,3.581793665019551,218.35693210585566,0.0,-11.214199876060018,0.0,1.0,0 days 05:30:00,market,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,TWAP,725.7822537019632,711.4451293945312,710.688192551813,201.52115342519022,212.38654741051937,3.581793665019551,218.35693210585566,0.0,-11.214199876060018,0.0,1.0,0 days 05:30:00,marketable_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,TWAP,725.7185474605265,711.4451293945312,710.688192551813,200.62570500893668,211.49014527376772,2.6863452487646633,218.35693210585566,211.82000663595866,-11.214199876060018,0.0,1.0,0 days 05:30:00,aggressive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,TWAP,724.5274635590089,711.4451293945312,710.688192551813,183.88395146666093,194.73056049382592,0.0,202.5391060458904,194.6597688363044,-10.83488084170589,0.23478195762636325,0.9185750394533336,0 days 05:30:00,midpoint_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,TWAP,721.5707140694725,711.4451293945312,710.688192551813,142.32418294238005,153.12652766305933,0.0,160.86868146555952,152.29891219438758,-10.008910473780405,2.0772976113198833,0.2795703820027567,0 days 05:15:00,passive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,TWAP,721.5707140694725,711.4451293945312,710.688192551813,142.32418294238005,153.12652766305933,0.0,160.86868146555952,152.29891219438758,-10.008910473780405,2.0772976113198833,0.2795703820027567,0 days 05:15:00,primary_peg,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,TWAP,724.5274635590089,711.4451293945312,710.688192551813,183.88395146666093,194.73056049382592,0.0,202.5391060458904,194.6597688363044,-10.83488084170589,0.23478195762636325,0.9185750394533336,0 days 05:30:00,midpoint_peg,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,TWAP,725.0526913484294,711.4451293945312,710.688192551813,191.26649957500993,202.1209715760007,0.9284455241219541,210.55270677873176,202.8743902501015,-11.552243101050577,0.25532358259019394,0.9114509783919374,0 days 05:20:00,adaptive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,VWAP,727.0212124347723,711.4451293945312,710.688192551813,218.9358307013356,229.81977263915994,3.587296341005333,236.79135735149367,0.0,-10.33328433935113,4.3846843591660415e-16,0.9999999999999999,0 days 05:30:00,market,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,VWAP,727.0212124347723,711.4451293945312,710.688192551813,218.9358307013356,229.81977263915994,3.587296341005333,236.79135735149367,0.0,-10.33328433935113,4.3846843591660415e-16,0.9999999999999999,0 days 05:30:00,marketable_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
SPY,2026-04-28,buy,765559.536,VWAP,726.9574083220351,711.4451293945312,710.688192551813,218.03900661608932,228.92199336822372,2.6904722557539995,236.79135735149367,228.36271506503547,-10.33328433935113,4.3846843591660415e-16,0.9999999999999999,0 days 05:30:00,aggressive_limit,volume_capped_touch,SPY_2026-04-28_buy_0100bp_1000_1530,42
