strategy,child_orders,filled_quantity,fill_rate,min_child_quantity,max_child_quantity,max_participation
TWAP,67,765559.536000001,1.0000000000000013,11426.261731343284,11426.261731344448,0.09644775287912893
VWAP,67,765559.5359999998,0.9999999999999999,4225.1276656636,43739.0,0.1
POV,19,765559.5360000001,1.0000000000000002,19218.0,92884.90000000001,0.1
Adaptive,67,765559.5360000001,1.0000000000000002,2359.3217886760995,21858.714770319053,0.1
