timestamp,ticker,side,strategy,quantity,reference_price
2026-04-28 10:00:00-04:00,SPY,buy,VWAP,6323.025996554809,711.4451293945312
2026-04-28 10:05:00-04:00,SPY,buy,VWAP,20916.09344042124,712.1300048828125
2026-04-28 10:10:00-04:00,SPY,buy,VWAP,5766.442563167191,711.6400146484375
2026-04-28 10:15:00-04:00,SPY,buy,VWAP,6006.771291709234,711.3599853515625
2026-04-28 10:20:00-04:00,SPY,buy,VWAP,26062.879251361246,711.3900146484375
2026-04-28 10:25:00-04:00,SPY,buy,VWAP,5233.962851910172,711.25
2026-04-28 10:30:00-04:00,SPY,buy,VWAP,5840.704579352621,710.89501953125
2026-04-28 10:35:00-04:00,SPY,buy,VWAP,7057.558364251848,710.0889892578125
2026-04-28 10:40:00-04:00,SPY,buy,VWAP,29807.24355118753,710.4600219726562
2026-04-28 10:45:00-04:00,SPY,buy,VWAP,4760.9591124307935,710.0900268554688
2026-04-28 10:50:00-04:00,SPY,buy,VWAP,6257.482931812811,709.6500244140625
2026-04-28 10:55:00-04:00,SPY,buy,VWAP,5701.530655711371,710.52001953125
2026-04-28 11:00:00-04:00,SPY,buy,VWAP,6807.360630871403,710.60498046875
2026-04-28 11:05:00-04:00,SPY,buy,VWAP,4656.873043453883,710.094970703125
2026-04-28 11:10:00-04:00,SPY,buy,VWAP,4558.55220960881,710.6900024414062
2026-04-28 11:15:00-04:00,SPY,buy,VWAP,38193.69734475274,710.6400146484375
2026-04-28 11:20:00-04:00,SPY,buy,VWAP,7690.037837629028,710.25
2026-04-28 11:25:00-04:00,SPY,buy,VWAP,6128.6520046478045,709.9000244140625
2026-04-28 11:30:00-04:00,SPY,buy,VWAP,51788.239036187704,709.6900024414062
2026-04-28 11:35:00-04:00,SPY,buy,VWAP,52786.80220901163,709.8900146484375
2026-04-28 11:40:00-04:00,SPY,buy,VWAP,4201.985763311329,709.8099975585938
2026-04-28 11:45:00-04:00,SPY,buy,VWAP,56763.307655509474,709.5698852539062
2026-04-28 11:50:00-04:00,SPY,buy,VWAP,7377.35553291707,709.8499755859375
2026-04-28 11:55:00-04:00,SPY,buy,VWAP,4554.667972871349,709.97998046875
2026-04-28 12:00:00-04:00,SPY,buy,VWAP,113820.1683111048,710.159912109375
2026-04-28 12:05:00-04:00,SPY,buy,VWAP,7008.16095151039,710.2899780273438
2026-04-28 12:10:00-04:00,SPY,buy,VWAP,4647.176172420802,710.4299926757812
2026-04-28 12:15:00-04:00,SPY,buy,VWAP,5071.156703083334,710.3350219726562
2026-04-28 12:20:00-04:00,SPY,buy,VWAP,4942.203535969621,710.5
2026-04-28 12:25:00-04:00,SPY,buy,VWAP,4851.037481163105,710.3200073242188
2026-04-28 12:30:00-04:00,SPY,buy,VWAP,3814.058533438631,709.8201293945312
2026-04-28 12:35:00-04:00,SPY,buy,VWAP,3124.5927917288873,709.7098999023438
2026-04-28 12:40:00-04:00,SPY,buy,VWAP,2670.4090149646017,709.530029296875
2026-04-28 12:45:00-04:00,SPY,buy,VWAP,3831.054875694455,709.739990234375
2026-04-28 12:50:00-04:00,SPY,buy,VWAP,3265.4281807954094,710.2598266601562
2026-04-28 12:55:00-04:00,SPY,buy,VWAP,3251.0412872405395,710.1799926757812
