signal,mean_ic,mean_abs_ic,max_abs_ic,best_horizon,best_horizon_ic,mean_hit_rate,mean_decile_spread,min_n_obs
volume_zscore,0.0712643576145993,0.0712643576145993,0.12699113427921574,12,0.12699113427921574,0.5010142255005269,0.00022671618375108636,358
liquidity_score,-0.0635098699117971,0.0635098699117971,0.10252883133115062,6,-0.10252883133115062,0.4481453071978256,-0.00032386853114596624,365
spread_proxy,0.050928837590443046,0.050928837590443046,0.07541710478885941,12,0.07541710478885941,0.5495263024963467,0.00020625503813007058,377
rolling_vol,0.05081777384652362,0.05081777384652362,0.08393346830654946,6,0.08393346830654946,0.5619810407592113,0.0006474784614847471,365
momentum_3,-0.001977585546118857,0.041751637108713636,0.05653419400625054,12,-0.05653419400625054,0.5081876393685112,-8.261262529684103e-05,374
reversal_3,0.001977585546118857,0.041751637108713636,0.05653419400625054,12,0.05653419400625054,0.4918123606314888,8.261262529684103e-05,374
alpha_signal,-0.009636704537736279,0.024460372183673453,0.04632231799982132,6,-0.04632231799982132,0.4952930458995355,0.0001411316670337044,358
ofi_proxy,-0.0034193874206073535,0.02044313270936976,0.03898733116505399,6,-0.03898733116505399,0.5135084427505414,1.1511936192979983e-05,373
