timestamp,ticker,side,strategy,quantity,reference_price
2026-04-28 10:00:00-04:00,SPY,buy,TWAP,11426.261731343284,711.4451293945312
2026-04-28 10:05:00-04:00,SPY,buy,TWAP,11426.261731343284,712.1300048828125
2026-04-28 10:10:00-04:00,SPY,buy,TWAP,11426.261731343284,711.6400146484375
2026-04-28 10:15:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3599853515625
2026-04-28 10:20:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3900146484375
2026-04-28 10:25:00-04:00,SPY,buy,TWAP,11426.261731343284,711.25
2026-04-28 10:30:00-04:00,SPY,buy,TWAP,11426.261731343284,710.89501953125
2026-04-28 10:35:00-04:00,SPY,buy,TWAP,11426.261731343284,710.0889892578125
2026-04-28 10:40:00-04:00,SPY,buy,TWAP,11426.261731343284,710.4600219726562
2026-04-28 10:45:00-04:00,SPY,buy,TWAP,11426.261731343284,710.0900268554688
2026-04-28 10:50:00-04:00,SPY,buy,TWAP,11426.261731343284,709.6500244140625
2026-04-28 10:55:00-04:00,SPY,buy,TWAP,11426.261731343284,710.52001953125
2026-04-28 11:00:00-04:00,SPY,buy,TWAP,11426.261731343284,710.60498046875
2026-04-28 11:05:00-04:00,SPY,buy,TWAP,11426.261731343284,710.094970703125
2026-04-28 11:10:00-04:00,SPY,buy,TWAP,11426.261731343284,710.6900024414062
2026-04-28 11:15:00-04:00,SPY,buy,TWAP,11426.261731343284,710.6400146484375
2026-04-28 11:20:00-04:00,SPY,buy,TWAP,11426.261731343284,710.25
2026-04-28 11:25:00-04:00,SPY,buy,TWAP,11426.261731343284,709.9000244140625
2026-04-28 11:30:00-04:00,SPY,buy,TWAP,11426.261731343284,709.6900024414062
2026-04-28 11:35:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8900146484375
2026-04-28 11:40:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8099975585938
2026-04-28 11:45:00-04:00,SPY,buy,TWAP,11426.261731343284,709.5698852539062
2026-04-28 11:50:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8499755859375
2026-04-28 11:55:00-04:00,SPY,buy,TWAP,11426.261731343284,709.97998046875
2026-04-28 12:00:00-04:00,SPY,buy,TWAP,11426.261731343284,710.159912109375
2026-04-28 12:05:00-04:00,SPY,buy,TWAP,11426.261731343284,710.2899780273438
2026-04-28 12:10:00-04:00,SPY,buy,TWAP,11426.261731343284,710.4299926757812
2026-04-28 12:15:00-04:00,SPY,buy,TWAP,11426.261731343284,710.3350219726562
2026-04-28 12:20:00-04:00,SPY,buy,TWAP,11426.261731343284,710.5
2026-04-28 12:25:00-04:00,SPY,buy,TWAP,11426.261731343284,710.3200073242188
2026-04-28 12:30:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8201293945312
2026-04-28 12:35:00-04:00,SPY,buy,TWAP,11426.261731343284,709.7098999023438
2026-04-28 12:40:00-04:00,SPY,buy,TWAP,11426.261731343284,709.530029296875
2026-04-28 12:45:00-04:00,SPY,buy,TWAP,11426.261731343284,709.739990234375
2026-04-28 12:50:00-04:00,SPY,buy,TWAP,11426.261731343284,710.2598266601562
2026-04-28 12:55:00-04:00,SPY,buy,TWAP,11426.261731343284,710.1799926757812
2026-04-28 13:00:00-04:00,SPY,buy,TWAP,11426.261731343284,709.6599731445312
2026-04-28 13:05:00-04:00,SPY,buy,TWAP,11426.261731343284,709.8800048828125
2026-04-28 13:10:00-04:00,SPY,buy,TWAP,11426.261731343284,709.989990234375
