strategy,placement_style,implementation_shortfall_bps,vwap_slippage_bps,spread_cost_bps,impact_cost_bps,adverse_selection_cost_bps,timing_cost_bps,opportunity_cost_bps,fill_rate,num_simulations
Adaptive,adaptive_limit,209.72290936145254,220.59703883909492,1.1440426043939111,230.07391941626202,220.6297028209134,-10.987209481730867,0.0638665740134312,0.9778503709489879,1
Adaptive,aggressive_limit,211.624912245458,222.5010675004708,2.542170512872579,230.47989850541137,222.4462969634843,-10.919123605180394,0.0,1.0,1
Adaptive,market,212.47230241641475,223.3493602062484,3.389560683830106,230.47989850541137,0.0,-10.919123605180394,0.0,1.0,1
Adaptive,marketable_limit,212.47230241641475,223.3493602062484,3.389560683830106,230.47989850541137,0.0,-10.919123605180394,0.0,1.0,1
Adaptive,midpoint_limit,179.08457676682113,189.92607409581748,0.0,197.29708450103936,189.7585193357364,-10.700157470754743,0.44268602509769084,0.8464716263014388,1
Adaptive,midpoint_peg,179.08457676682113,189.92607409581748,0.0,197.29708450103936,189.7585193357364,-10.700157470754743,0.44268602509769084,0.8464716263014388,1
Adaptive,passive_limit,138.91428102009712,149.71299393653078,0.0,157.1543643706435,148.85430044873053,-10.07500247817956,2.1276756283089897,0.26209873261696626,1
Adaptive,primary_peg,138.91428102009712,149.71299393653078,0.0,157.1543643706435,148.85430044873053,-10.07500247817956,2.1276756283089897,0.26209873261696626,1
POV,adaptive_limit,307.39909723516337,318.37725926327266,4.460948350334484,334.6297406970342,319.61413982056234,-11.84589662584678,0.0,1.0,1
POV,aggressive_limit,307.39909723516337,318.37725926327266,4.460948350334484,334.6297406970342,319.61413982056234,-11.84589662584678,0.0,1.0,1
POV,market,308.88608001860644,319.8658257961927,5.9479311337793135,334.6297406970342,0.0,-11.84589662584678,0.0,1.0,1
POV,marketable_limit,308.88608001860644,319.8658257961927,5.9479311337793135,334.6297406970342,0.0,-11.84589662584678,0.0,1.0,1
POV,midpoint_limit,211.39787080652346,222.27378424517883,0.0,233.32782689520667,223.68510530752064,-11.941897986668934,1.430833392968524,0.5037712703770698,1
POV,midpoint_peg,211.39787080652346,222.27378424517883,0.0,233.32782689520667,223.68510530752064,-11.941897986668934,1.430833392968524,0.5037712703770698,1
POV,passive_limit,141.0544875842887,151.85547998308388,0.0,162.93992603673172,153.9370435800845,-10.664755720290541,2.65449648965134,0.07939147400287887,1
POV,primary_peg,141.0544875842887,151.85547998308388,0.0,162.93992603673172,153.9370435800845,-10.664755720290541,2.65449648965134,0.07939147400287887,1
TWAP,adaptive_limit,191.26649957500993,202.1209715760007,0.9284455241219541,210.55270677873176,202.8743902501015,-11.552243101050577,0.25532358259019394,0.9114509783919374,1
TWAP,aggressive_limit,200.62570500893668,211.49014527376772,2.6863452487646633,218.35693210585566,211.82000663595866,-11.214199876060018,0.0,1.0,1
TWAP,market,201.52115342519022,212.38654741051937,3.581793665019551,218.35693210585566,0.0,-11.214199876060018,0.0,1.0,1
TWAP,marketable_limit,201.52115342519022,212.38654741051937,3.581793665019551,218.35693210585566,0.0,-11.214199876060018,0.0,1.0,1
TWAP,midpoint_limit,183.88395146666093,194.73056049382592,0.0,202.5391060458904,194.6597688363044,-10.83488084170589,0.23478195762636325,0.9185750394533336,1
TWAP,midpoint_peg,183.88395146666093,194.73056049382592,0.0,202.5391060458904,194.6597688363044,-10.83488084170589,0.23478195762636325,0.9185750394533336,1
TWAP,passive_limit,142.32418294238005,153.12652766305933,0.0,160.86868146555952,152.29891219438758,-10.008910473780405,2.0772976113198833,0.2795703820027567,1
TWAP,primary_peg,142.32418294238005,153.12652766305933,0.0,160.86868146555952,152.29891219438758,-10.008910473780405,2.0772976113198833,0.2795703820027567,1
VWAP,adaptive_limit,211.95445176569,222.83095800529293,1.5937864299691116,232.3593552427249,223.08467902701537,-11.098774937424762,0.24054161719430694,0.9165775262805864,1
VWAP,aggressive_limit,218.03900661608932,228.92199336822372,2.6904722557539995,236.79135735149367,228.36271506503547,-10.33328433935113,4.3846843591660415e-16,0.9999999999999999,1
VWAP,market,218.9358307013356,229.81977263915994,3.587296341005333,236.79135735149367,0.0,-10.33328433935113,4.3846843591660415e-16,0.9999999999999999,1
VWAP,marketable_limit,218.9358307013356,229.81977263915994,3.587296341005333,236.79135735149367,0.0,-10.33328433935113,4.3846843591660415e-16,0.9999999999999999,1
VWAP,midpoint_limit,181.84562869816284,192.6900667569383,0.0,198.8225827354086,191.31655575539074,-9.34013481759504,0.4837539867150348,0.8322288063325131,1
VWAP,midpoint_peg,181.84562869816284,192.6900667569383,0.0,198.8225827354086,191.31655575539074,-9.34013481759504,0.4837539867150348,0.8322288063325131,1
VWAP,passive_limit,141.238231261317,152.03941936106824,0.0,159.46235118675617,151.09955637175602,-9.845107534101238,2.1106532558589737,0.26800227826913703,1
VWAP,primary_peg,141.238231261317,152.03941936106824,0.0,159.46235118675617,151.09955637175602,-9.845107534101238,2.1106532558589737,0.26800227826913703,1
